,South Africa,Algeria,Libya,Morocco,Western Sahara,Sudan,Tunisia,Egypt,North Africa nes,Cameroon,Central Afr Rep,Chad,Congo,Gabon,Ceuca nes,Angola,Br Ind Oc Tr,Burundi,Comoros,Congo Dem Rep,Benin,Eq Guinea,Ethiopia,Fr So Ant Tr,Djibouti,Gambia,Ghana,Guinea,Cote D'Ivoire,Kenya,Liberia,Madagascar,Malawi,Mali,Mauritania,Mauritius,Mozambique,Niger,Nigeria,Guinea-Bissau,Reunion,Rwanda,St Helena,Senegal,Seychelles,Sierra Leone,Somalia,Zimbabwe,Togo,Uganda,Tanzania,Burkina Faso,Zambia,Other Africa nes,Canada,USA,Bermuda,Greenland,St Pierre Miqu,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Mexico,Paraguay,Peru,Uruguay,Venezuela,Laia nes,Costa Rica,El Salvador,Guatemala,Honduras,Nicaragua,Cacm nes,Bahamas,Barbados,Cayman islds,Cuba,Dominican Rp,Guadeloupe,Haiti,Jamaica,Neth Antilles,St Kitts Nev,Trinidad Tbg,Turks Caicos Isl,Caribbean nes,Belize,Falkland Isl,French Guiana,Guyana,Panama,Suriname,Rest America nes,Israel,Japan,Bahrain,Cyprus,Iran,Iraq,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Fm Dem Yemen,Syrn Arab Rp,Untd Arab Em,Turkey,Fm Yemen,Yemen,Middle East nes,Afghanistan,Bangladesh,Bhutan,Brunei,Myanmar,Cambodia,Sri Lanka,Hong kong,India,Indonesia,Korea Rp,Laos P Dem R,Malaysia,Maldives,Nepal,Pakistan,Philippines,Singapore,Thailand,Taiwan,China,Korea D P Rp,Mongolia,Vietnam,Asia cpe nes,Belgium-Lux,Denmark,France,Germany,Greece,Ireland,Italy,Netherlands,Portugal,Spain,UK,EEC nes,Austria,Finland,Iceland,Norway,Sweden,Switzerland,EFTA nes,Gibraltar,Malta,Other Eur nes,Albania,Bulgaria,Fm Czechoslovak,Fm German Dm Rp,Hungary,Poland,Romania,Fm Eur cpe nes,Fm Yugoslavia,Fm USSR,Australia,New Zealand,Solomon Islds,Fiji,Kiribati,New Caledonia,Papua N Guinea,Oth Oceania nes,Areas nes,Unknown partner
      Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,15.684211,,,,,59.789474,7.684211,,,,,2.052632,,,,36.526316,,,,4.736842,4.894737,0.368421,,52.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.421053,,,,,,,,,,4.578947,,,,,,,,,,,,,,,,,,,,,,,0.315789,0.315789,12.947368,2.368421,,2.157895,,,,,,,,3.684211,,,,,,,4.263158,,,,,0.263158,0.421053,,,,,,,,,,,,,,,,,,,,,,,,,
      Cambodia,,,,,,,,3.210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.421053,,,,,,,,,0.368421,1.368421,,,,,,,,,,,,,,,,,,,,,,,,,0.368421,0.526316,,,,,,,,,,,,,,,,1.052632,,,,,,,5.368421,,,,,,,,,,,,,,,,,,,,,,,,,
      Sri Lanka,2.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.210526,292.473684,,,,,,0.526316,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.105263,18.789474,,,,,,,,,,0.684211,,,2,0.526316,,,,,,,,,,,4.631579,,,218.105263,,0.842105,1.105263,,,0.947368,14.473684,1.421053,0.368421,,,,,,9.263158,,4.105263,17.684211,0.631579,1.368421,4.842105,2.052632,,15.789474,18.263158,,,0.263158,,2.263158,1.736842,2.052632,,,,,,,0.263158,,,,,,,,14.421053,,,,,,,,,
      Hong kong,3506.631579,81.473684,75.263158,890.578947,,3.157895,137.315789,883.105263,,77.684211,2.789474,,65.736842,26.947368,,66,,,,192.315789,9.894737,,15.736842,,12.473684,9.105263,124.263158,20.684211,494.473684,57.473684,14.157895,74.894737,37.684211,56.210526,14.105263,64.631579,35.315789,27.789474,6176.526316,2.210526,,7.894737,,92.631579,13.947368,14.894737,1.105263,38.421053,9.052632,54.105263,68.210526,0.947368,62.842105,41.052632,12239.36842,125814.6842,59.578947,,,809.526316,4.105263,2922.157895,1690.526316,107.052632,287.947368,1078.421053,2078.684211,194.842105,170.684211,566.947368,,74.263158,27.684211,111.684211,13.842105,10.315789,,,10.947368,,0.263158,15,,43.842105,5.473684,70.473684,2.263158,12,,,4.210526,,,1.473684,2407.631579,6.105263,,3000.263158,41381.21053,59.368421,263.157895,598.684211,10.421053,421.947368,211.473684,321.421053,79.368421,51.052632,1085.105263,,256.210526,2690.052632,713.368421,,5.736842,,86.421053,291.315789,2.631579,158.052632,165.578947,12.842105,289.105263,,3785.526316,6171.789474,7906.052632,8.631579,5217.578947,3.947368,763.631579,543.105263,3666.947368,24738.84211,4371,16284.05263,124766.0526,450.052632,5,2680,,4159.947368,927.052632,8579.263158,23718.21053,697.842105,1137.368421,6620.368421,7984.736842,524,5027.263158,27630.78947,,3444.421053,1283.894737,82.210526,517.947368,2232.157895,2307.684211,,6.263158,176.368421,,3.210526,73.263158,224.473684,2.684211,555.789474,911.894737,130.052632,,461.578947,4920.631579,13015.10526,1959.631579,15.684211,145.263158,8.894737,126.736842,202.526316,,4.631579,
      India,488.157895,,0.473684,1.578947,,0.473684,2,6.789474,,0.263158,2.157895,,,6.210526,,,,,,14.263158,,,1,,,,46.473684,,41.631579,80.315789,,1.157895,6.736842,3.789474,,322,,0.421053,177.473684,,7.157895,,,14.157895,,0.842105,,11.789474,,5.842105,21.210526,2.052632,49.421053,3.947368,528.210526,15089.05263,,,,32.894737,,8.578947,3.631579,3.421053,,21.684211,,,0.368421,4.631579,,,,,0.421053,,,,,,0.421053,,,,4.157895,,,45.526316,,,,,,0.842105,19.631579,16.263158,,42.631579,1315.210526,79.894737,4.105263,19.947368,46.473684,21.684211,80.210526,3.157895,61.842105,43.368421,164.894737,,6.315789,2064.263158,18.105263,,1.894737,,0.526316,47.263158,8.947368,,,,100.894737,8361.894737,,59.842105,489.578947,,252,15.736842,20.315789,5,68.947368,5847.052632,122.842105,773.526316,134.947368,92.684211,,15.526316,,394.842105,29.105263,680.684211,1610.789474,141.210526,36.578947,478.263158,675.368421,374.789474,383.684211,5637.736842,,179.315789,26.105263,,49.526316,97.210526,100.368421,,0.421053,0.315789,,,8.421053,49.315789,0.894737,397.473684,37.684211,34.105263,,48.526316,4792.894737,382.736842,59.684211,,78.894737,,1.842105,1.210526,,,
      Indonesia,45.631579,3.473684,1.894737,,,,,30.421053,0.631579,,,,,,,19.842105,,,,1.842105,,,,,1.526316,,2.894737,5.631579,,3.157895,,0.368421,,,17.421053,7.421053,,,481.105263,,3.157895,,,2.368421,,,,1.368421,,1.315789,,,,112.631579,586.842105,8806.052632,,,,69.947368,,142.631579,224.473684,9.947368,8.315789,115.631579,1.842105,,,1.263158,,,,24.684211,1.052632,,,,,,2.210526,,,,,1.473684,,,,,,,,1.210526,362.052632,,7.368421,,3869.315789,67.315789,14.157895,10.315789,4.736842,17.894737,115.263158,10.894737,11.526316,,1940.578947,,78.842105,1210.842105,61.157895,,96.526316,4.684211,,1.894737,,0.684211,,,68.210526,5335.105263,7.631579,1.052632,3913.157895,,1342.052632,,,7.210526,565.631579,7744.578947,791.736842,1065.105263,1404.789474,,,34.263158,,350.368421,323.315789,2613.631579,5712.368421,55.894737,140.263158,1607.263158,550.631579,28.368421,640.789474,5715.421053,,63,128.736842,,29,124.157895,18.842105,,,3.473684,1.631579,,,3.736842,9.105263,7,42.368421,15.631579,,1.789474,40.684211,1322.315789,291.368421,,,,,83.105263,4.052632,,
      Korea Rp,2137.157895,113.473684,235.578947,681.421053,,3.421053,163.947368,2318.315789,,51.894737,0.263158,,11.315789,34.894737,,1.947368,,,,175.157895,1.842105,,19.210526,,22.421053,5.578947,83.421053,22.842105,325.684211,217.947368,2.263158,51.368421,2.210526,2.578947,20,301.894737,1.947368,4.789474,2855.263158,,150.052632,,,99.789474,,80.052632,,9.894737,26.263158,169.631579,243.789474,,18.842105,,26007.68421,280636.1053,2.210526,4.894737,,2157.578947,13.789474,5929.894737,1864.105263,438.789474,120.631579,5183.894737,333.578947,865,110.526316,338,,66.894737,2.473684,115.210526,1.894737,4.263158,,15.368421,45.210526,,,3.894737,229.578947,0.263158,4.684211,1.789474,3.736842,35.947368,,,6,,28.894737,4.789474,1365.684211,,,1286.368421,86006.94737,383.473684,593.578947,405.052632,2.842105,678,3387.578947,1092.894737,493.789474,385.315789,11091.36842,,1080.263158,7059.947368,5832.263158,,74.263158,,44.736842,346.210526,,76.105263,454,,279.157895,62890.26316,1356.631579,3698.789474,,,6042.947368,2.789474,41.421053,3869.263158,817.263158,18118.10526,6341.210526,13553.47368,13118.42105,,7.631579,3282.631579,,4044.421053,2885.421053,27109.52632,31265.73684,2038.421053,5986.315789,13632.84211,9795.052632,1477.157895,10848.68421,44530.31579,,3567.947368,1948.947368,235,1908.789474,4635.263158,4470.947368,,1.421053,386.947368,,3.368421,239.473684,614.684211,,765.631579,1021.684211,358.105263,,421.684211,28245,17925.21053,4150.736842,10.473684,173.210526,0.894737,44.526316,62.052632,,1491.526316,
      Laos P Dem R,0.736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.526316,,,,0.368421,,,,,,,,,,,,,,,,,,,,,,4.157895,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,,,,,,,,,
      Malaysia,218,,21.052632,0.526316,,,,6.578947,,0.263158,,,,,,,,,,,,,1.368421,,2,3.368421,,,,,,,,,,15.947368,,0.368421,4.842105,,,,,0.263158,,,,2.526316,,,16.052632,,,,380.315789,13214.94737,,,,41.263158,,246.263158,21.736842,3.526316,,92.210526,14.947368,,1,2.631579,,1.684211,,,,,,,,,,,,,,,,0.894737,,,,,,,10.368421,,,,5661.842105,40.526316,8.210526,23.947368,,6.526316,38.473684,116.105263,25.315789,11.052632,221.526316,,3.052632,340.421053,86.842105,,,,1.631579,4.315789,,73,35.315789,5.684211,15.368421,1892.842105,119,52.842105,294.105263,,,,0.315789,27.894737,84.105263,52265.63158,12187.05263,1401.631579,113.210526,,0.473684,114,,1295.684211,32.105263,2048.315789,2274.736842,18.421053,78.736842,599.894737,1782.210526,39.105263,454.421053,3098.842105,,234.631579,107.526316,0.263158,106.105263,230.105263,61.052632,,4.315789,3.157895,,,2.052632,39.947368,,28.578947,63.473684,2.684211,,1.947368,86.105263,1125.052632,93.210526,1.368421,0.947368,,,15,,,
      Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473684,0.684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.315789,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Pakistan,4.684211,,,,,0.578947,,0.263158,,,,,1.526316,,,,,,,,,,,,0.789474,,3,0.473684,,4.052632,3.105263,,,,,5.736842,2.368421,,,,,,,,,,,,2.421053,6.526316,42.421053,,1.789474,26.631579,22.105263,372.368421,,,,0.263158,,,0.947368,,,4.368421,,,0.789474,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,16.736842,6.894737,2.789474,7,5.157895,1.842105,39.315789,1.473684,0.736842,3.157895,10,,0.263158,388.210526,4.736842,,,,,5.842105,,2.526316,,,1.473684,6.315789,1.684211,,10.421053,,2.631579,0.315789,1.052632,,,30.736842,1.684211,2.263158,0.526316,,,,,32.842105,10.947368,54.315789,111.736842,38,35.105263,12.842105,44.894737,0.526316,5.631579,330.526316,,1,,0.368421,5.421053,11.631579,5.052632,,,,,,,,,,,7.421053,,,0.473684,26.736842,2.052632,,1.052632,,,,9.947368,,
      Philippines,0.368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.578947,,,,,,,,,,,,,,,,106.684211,2119.421053,,,,2,,0.578947,5.315789,4.526316,,11.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.631579,365.789474,,0.842105,,,,0.368421,,0.578947,,40.736842,,,8,1.263158,,,,,0.263158,,8.947368,,,,341.105263,2.473684,5.578947,8.473684,,50.421053,,,,,347.894737,12.736842,36.631579,13.526316,,,0.947368,,27.526316,18.210526,131,562.263158,,3.105263,99.105263,522.473684,0.894737,35.368421,977.473684,,14.947368,2.105263,,2.631579,43.473684,152.052632,,,,,,,0.631579,,0.263158,1.789474,,,1.105263,3.157895,55.842105,,,,,,,,,
      Singapore,3244.210526,77.263158,2.210526,39.736842,,24.315789,64.578947,431.315789,,32,,0.684211,2.736842,54.684211,,9.842105,,,4.105263,101.894737,4.684211,,48.631579,,261.052632,,30.315789,55.315789,80.947368,246.578947,683.473684,118.421053,0.263158,0.263158,,357,13.052632,,4142.684211,,47.210526,,,3.526316,87.473684,20.526316,,23.526316,20.526316,145.526316,25.894737,,1.157895,2250.894737,2748.210526,48617.89474,,,,532.473684,,1143.052632,832.421053,12.105263,2.789474,542.894737,70.631579,75.526316,64.947368,25.894737,,139,3.947368,86,,,,0.631579,,,51.631579,6.368421,2.789474,,1.578947,29.368421,,0.526316,,,,,,0.789474,512.789474,,73.894737,1505.263158,45277.1579,225.526316,201.052632,429.210526,22.578947,490,1230.578947,498.105263,289.526316,253.684211,8601.210526,,302.421053,7528.842105,501.736842,,191.315789,,419.894737,591.842105,15.157895,1593.210526,1724.578947,222.894737,1437.105263,40752.47368,13148.31579,2386.368421,8450.315789,20.526316,49082.26316,203.315789,2055.421053,1383.263158,6727.842105,,36199.68421,14027.1579,26727.84211,54.947368,38.052632,2589.421053,,736.263158,238,8379.052632,7064.631579,417.894737,6783.315789,3178.315789,7068.315789,321.315789,1208.736842,7719.157895,,682.105263,552.631579,1.421053,243.473684,476.421053,612.684211,,3.263158,50.263158,329.684211,,115.684211,213.736842,11.894737,8247.368421,363.421053,127.526316,,306.842105,4465.210526,21921.31579,2388.052632,27.368421,80.368421,5.631579,206.263158,337.842105,65.157895,,
      Thailand,152.052632,,0.894737,,,3.368421,2.894737,12.578947,,,0.526316,,68.894737,73.894737,,187.105263,,,,,4.263158,,1.210526,,,,0.368421,,,1,,0.736842,,1.789474,,5.473684,6.263158,15.052632,19.157895,4.789474,,,,2.157895,,6.631579,1.842105,,33.842105,,6.210526,,1.789474,,390.210526,15733.57895,,,,139.578947,0.578947,123.684211,21.263158,6.631579,6.842105,211.894737,1.263158,1.789474,4.631579,2.210526,,0.421053,0.263158,1.210526,,,,,0.368421,0.368421,,,,,,,2.157895,,,,,,,,3.526316,,,91.789474,15460.21053,24.789474,35.736842,16.894737,,2.105263,72.052632,7.210526,7.736842,,303.526316,,40,558.473684,12.947368,,,,3.789474,3.263158,2.368421,22.736842,385.157895,170.947368,22,2464.263158,136.210526,54.210526,173.684211,47.947368,1448.526316,2.578947,32.789474,55.789474,79.315789,22532.26316,,649.263158,691,1.789474,1.052632,29.578947,,1112.368421,111.368421,3080.052632,2940.315789,23.473684,1128.894737,1277.947368,3188.789474,32.947368,899.315789,2682.315789,,311.105263,142.736842,1,89.052632,220.894737,160.105263,,,,,,21.631579,14,0.947368,50.368421,40.526316,1.473684,,2.263158,17.684211,1410.789474,325.684211,0.631579,0.263158,,1.526316,8.052632,,27.473684,
      Taiwan,3449.789474,63.578947,51.631579,48.052632,6.578947,6.684211,84.684211,194.157895,,12.526316,,,0.578947,7.473684,,1.105263,,,,1,,,,,,,0.789474,0.315789,64.263158,10.105263,3.578947,3.052632,,,0.368421,113.421053,,,41.631579,1.052632,33.736842,,,2.157895,,,,15.894737,0.263158,1.263158,,,,,12018.47368,151391,,2.473684,,2038.526316,18.263158,2218.263158,635.894737,386.263158,379.157895,3092.210526,1428.526316,215,126.736842,560.578947,,379.842105,86.210526,333.368421,41.052632,100.526316,,,10.736842,,,4.578947,51.315789,,2.789474,0.947368,2.526316,37.578947,,,1,,10.210526,,237.263158,4.789474,,627.842105,35607.10526,84.473684,218.052632,0.894737,,33.736842,314.315789,23.210526,6.105263,27.421053,849.842105,,21.421053,162.578947,486.789474,,1.315789,,,9,,13.736842,,,40.105263,16932.42105,495.842105,1721.315789,5598.473684,,2914.315789,,4,83.894737,1176.473684,17196.94737,3505.368421,,9035.052632,,,,,1457.631579,1448.315789,11861.73684,31188.57895,687.684211,598.315789,8497.473684,9403.473684,828.684211,5586.789474,18562.26316,,1708.842105,962.894737,109.684211,1612.368421,2702.578947,2362.842105,,,204.157895,,,1.263158,450.894737,,283.368421,342.842105,18.947368,,275.421053,65.210526,8657.105263,1762,,16.736842,7.052632,9.157895,19.578947,,17,
      China,606.421053,70.210526,9.842105,186.368421,,1,93.263158,206.789474,,1.631579,2.052632,10.842105,,0.263158,,2.473684,,,,11.631579,5.368421,,0.631579,,0.894737,0.789474,41.526316,11.157895,13.947368,5.210526,16.210526,17.684211,,,2.526316,50.631579,,2.157895,530,2.421053,25.684211,,,4.052632,1.315789,9.789474,,5,6.052632,2.052632,2.578947,,1.315789,,4035.578947,72263.10526,,,,672.052632,23.631579,1899.052632,613.736842,51.631579,55.894737,563.578947,66.210526,99.210526,39.263158,261.157895,,6.105263,14.526316,22.684211,9.631579,1.368421,,,0.631579,0.631579,10.894737,3.157895,8.789474,4.263158,0.526316,2.368421,4.105263,1.736842,,,0.526316,,0.263158,0.842105,41.157895,2,,154.894737,33197.10526,18.210526,65.684211,66.315789,7.473684,47.894737,135.157895,119.368421,9.789474,9.684211,295.473684,,247.421053,609.315789,640.526316,,,,3.263158,22.789474,,2.631579,20.684211,4.157895,146.736842,113546.1053,308.894737,1758.473684,6604.526316,14.631579,1472.736842,,27.263158,88.736842,157.052632,5132.789474,1086.526316,2147.263158,,30.578947,19,145.631579,,659.789474,260.789474,4623.842105,9042.210526,471.842105,408.421053,3208.052632,1554.157895,332.789474,2736.842105,7857.526316,,827.263158,297.736842,13.684211,134.315789,561.210526,261.421053,,28.842105,43.315789,,3.789474,25.368421,192.578947,0.315789,90.631579,513.315789,195.421053,,81,4642.473684,4985.105263,597.210526,3.052632,10.105263,,9.105263,84.421053,,,
      Korea D P Rp,,28.263158,,,,,0.368421,,,,,,,,,,,,,,0.526316,,0.421053,,,,1.105263,,,,,9.684211,,,,2.315789,,,29,,0.368421,,,3.263158,,,,,0.473684,,,,,,,,1.157895,0.368421,,4.736842,1.052632,46.684211,12.315789,38.736842,16.210526,7327.631579,,9.421053,2,,,38.315789,,15.105263,,1.315789,,,0.526316,,,,16.368421,,1.210526,,,5.421053,,,,,,,,,,,468.789474,1.210526,88,,,0.631579,,,,,53.736842,,14.684211,,84.684211,,,,,18.631579,,,,,,34.421053,45.157895,20.684211,,,56.736842,,,,,58,,,23.631579,,,,,,7.473684,96.894737,32.315789,16.210526,29.263158,51.894737,,0.263158,71.368421,13.263158,,7.894737,,3.473684,3.105263,14.421053,4.736842,,,7.789474,,,6.052632,31.052632,,3.157895,122.894737,21.421053,,61.842105,146.684211,0.684211,,,0.631579,,,0.315789,,,
      Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.263158,,,,,,,,,
      Vietnam,1,16.157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.315789,59.210526,,,,4.052632,,1.631579,1.421053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.842105,,,,,,,,,,,,,,,,,,,,,,,,,25.526316,,2.368421,11.105263,,50.894737,,,,5.368421,21.842105,,,1.368421,,,,,0.315789,,58.421053,247.368421,0.894737,,6,5.684211,,12.894737,62.473684,,2.473684,3.578947,,0.684211,,0.842105,,,,,,,3.789474,,,1.578947,0.789474,,,,6.157895,0.789474,,,,,,,,
      Asia cpe nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Belgium-Lux,637.052632,195.421053,26.736842,157.894737,,39.105263,227.526316,50.789474,,26.210526,0.736842,0.263158,33.789474,12.263158,,18.894737,,59.421053,1.157895,412.210526,2.421053,1.473684,3.736842,,1.842105,3.736842,19.210526,22.736842,29.263158,23.526316,0.947368,4.578947,0.736842,6.368421,1.210526,8.684211,0.263158,4.947368,50.052632,4.421053,51.789474,50.421053,,30.789474,0.578947,5.210526,0.368421,32.789474,5.263158,1.421053,3.578947,4.052632,7.631579,,1111.736842,6119.789474,,,,289.789474,10.368421,263.263158,121.473684,165.473684,14.789474,203.263158,3.105263,74.947368,17.368421,113.894737,,2.736842,4.210526,9.421053,2.157895,0.631579,,2.631579,3.631579,1.315789,3.105263,,69.578947,0.684211,8.105263,0.368421,1,10.052632,,,,,3.052632,5.894737,30.210526,16.947368,,1209.105263,1840.684211,44.473684,126.578947,42.157895,17.526316,13.315789,58.052632,25.526316,24.736842,14.894737,187.526316,,2,193,786,,1.684211,,,1.315789,,0.894737,,,1.526316,802.736842,157.947368,9.526316,1019.684211,,168.105263,,,43.105263,53.368421,399.894737,100.842105,1028,177.368421,,,0.315789,,,2869.842105,41514.21053,59568.42105,2903.263158,1715.157895,26512.31579,61222.94737,2220,14572.84211,42896.26316,,4313.894737,5606.789474,57.157895,2145.894737,5587.421053,10363.47368,,9.105263,144.105263,,1.947368,276.631579,2039.842105,36.421053,1668,1498.947368,162.368421,,736.684211,2853.578947,1311.526316,95.210526,0.473684,0.684211,,51.842105,2.684211,,89.842105,
      Denmark,529.421053,44.210526,45.473684,279.684211,,3.368421,30.947368,454,,,,,,,,3.368421,,4.421053,0.736842,24.315789,0.368421,,9.736842,,1.421053,,7.894737,0.315789,1.368421,12.526316,0.894737,0.315789,1.210526,0.368421,2,,2.578947,,13.105263,0.263158,0.842105,,,0.526316,,,0.315789,15.315789,1.894737,2.526316,8.263158,,18.263158,,415.684211,3461.684211,0.315789,1943.578947,0.263158,214,1.526316,282.315789,101.789474,311.947368,16.210526,294,27.842105,62.105263,11.105263,208.315789,,35.473684,1.210526,9.421053,5.473684,0.315789,,,,,,4.105263,,,,1,,0.263158,,,,,0.526316,,3.052632,,,1818.578947,862.526316,51.105263,193.421053,12.473684,8.842105,24.684211,116.157895,52.526316,18.631579,16.052632,421.105263,,0.842105,57.368421,916.210526,,1.736842,,,,,,,,,99.421053,103,1.263158,301.421053,,48.789474,,0.421053,108.052632,4.947368,56.947368,34.894737,86.315789,32.263158,1.789474,,2,,2378.842105,587.263158,9137.105263,27980.10526,1405.157895,1653.157895,8414.684211,8569.526316,1800.473684,3310.789474,20621.05263,,2142.842105,6917.578947,948.789474,11775.78947,19167,4241.842105,,131.789474,21.947368,,,24.421053,258.631579,11.210526,389.684211,310.842105,67.421053,,362.631579,493,386.105263,54.631579,,16.263158,,0.789474,0.263158,,4.736842,
      France,2733.736842,2553.052632,420.578947,3613.842105,,5.263158,1755.684211,464.947368,,1287.842105,112.157895,84.473684,610.578947,1338.052632,,153.421053,,56.578947,158.052632,168.526316,237.157895,16,31.631579,,385.315789,53.631579,224.631579,245.842105,2032.842105,130.368421,1.105263,459.736842,7.052632,349.631579,139.421053,382.473684,30.105263,221.105263,452.736842,105.157895,6297.578947,68.526316,6.263158,852.578947,40.421053,0.526316,1.684211,98.947368,306.842105,22.947368,5.526316,333.684211,21.684211,,7041.052632,45492.42105,0.315789,49.684211,106.789474,804.473684,49.684211,1272.947368,584.526316,221.315789,17.473684,1924.157895,11.052632,127.842105,79.315789,476.421053,,283.368421,0.263158,7.842105,2.421053,0.263158,,16.684211,2.736842,1.368421,65.736842,1.052632,5893.526316,33.052632,0.736842,24.789474,4.157895,3.368421,0.631579,,,,948.578947,0.315789,6.157895,0.263158,,1976.210526,25339.63158,37.052632,176.368421,362.105263,562,98.473684,354.157895,779.263158,59,43.473684,1139.631579,,170.368421,1628.157895,943.789474,,49.315789,,0.315789,5.105263,0.315789,6.842105,,9.210526,5.157895,2376.315789,1175.842105,203.368421,3311.894737,1.368421,290.684211,3.263158,,47.210526,38.315789,1761.842105,715.789474,1509.368421,928.052632,17.578947,5.105263,156.052632,,51434.52632,11709.94737,1347.578947,184659.7368,3681.210526,7363.421053,36439.36842,76917.36842,4788.157895,23244.78947,56685.47368,,6113.526316,3169.052632,183.631579,4426.842105,8051.052632,37986.73684,,6.368421,163.368421,,39.473684,94.789474,1429.631579,149.315789,874.578947,1497,324.842105,,936.631579,5598.473684,3081.842105,347.578947,,0.473684,0.526316,5171.684211,2.105263,,31.578947,
